"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"298","","Chandler Catanzaro","TB","K21","5","257","302","282.2","8.4","300.0","+2.0"
"299","","DeAndre Washington","OAK","RB78","7","227","357","286.8","45.8","366.0","+67.0"
"300","","Vernon Davis","WAS","TE35","4","240","310","286.6","17.6","260.0","-40.0"
"301","","Randy Bullock","CIN","K22","9","278","311","287.8","11.9","356.0","+55.0"
"302","","Jaron Brown","SEA","WR109","7","258","284","273.3","10.2","309.0","+7.0"
"303","","Samaje Perine","WAS","RB79","4","260","291","273.5","11.1","226.0","-77.0"
"304","","Lamar Jackson","BAL","QB35","10","250","299","292.2","4.7","252.0","-52.0"
"305","","Dontrelle Inman","IND","WR110","9","237","277","257.7","16.4","",""
"306","","Luke Willson","DET","TE36","6","259","338","294.2","27.2","291.0","-15.0"
"307","","Jacquizz Rodgers","TB","RB80","5","241","320","294.8","15.6","364.0","+57.0"
"308","","Brett Maher","DAL","K23","8","267","303","284.0","13.7","279.0","-29.0"
"309","","John Kelly","LAR","RB81","12","272","307","284.3","13.6","225.0","-84.0"
"310","","Jason Myers","NYJ","K24","11","229","335","284.8","40.3","",""
"311","","Marcus Murphy","BUF","RB82","11","252","334","286.8","31.4","371.0","+60.0"
"312","","Kenjon Barner","NE","RB83","11","219","234","226.5","7.5","",""
